Player,Pos.,Team,Amount,Infraction,Week,6,Year
Ahmad Bradshaw,RB,NYG,"$5,000.00 ",Unsportsmanlike Conduct,Week 7,,2009
Michael Johnson,S,NYG,"$5,000.00 ",Roughing the Passer,Week 7,,2009
Levi Brown,LT,ARI,"$5,000.00 ",Chop Block,Week 7,,2009
Larry Johnson,RB,KC,"$300,000.00 ",Conduct detrimental to the league,,,2009
Chad Johnson,WR,CIN,"$10,000.00 ",Other Uniform/Equipment Violation,Week 7,,2009
Larry English,OLB,SD,"$7,500.00 ",Horse Collar Tackle,Week 7,,2009
Chris Hope,S,TEN,"$10,000.00 ",Roughing the Passer,Week 6,,2009
Jonathan Vilma,ILB,NO,"$10,000.00 ",Roughing the Passer,Week 6,,2009
Marques Murrell,LB,NYJ,"$5,000.00 ",Unsportsmanlike Conduct,Week 6,,2009
James Ihedigbo,SS,NYJ,"$5,000.00 ",Unsportsmanlike Conduct,Week 6,,2009
Victor Abiamiri,DE,PHI,"$5,000.00 ",Roughing the Passer,Week 5,,2009
Ray Lewis,LB,BAL,"$25,000.00 ",Hit on Defenseless Player,Week 5,,2009
Logan Mankins,G,NE,"$5,000.00 ",Unsportsmanlike Conduct,Week 5,,2009
Brandon Meriweather,SS,NE,"$7,500.00 ",Unsportsmanlike Conduct,Week 5,,2009
Ty Warren,DT,NE,"$5,000.00 ",Roughing the Passer,Week 5,,2009
Kevin Williams,DT,MIN,"$7,500.00 ",Roughing the Passer,Week 5,,2009
Artis Hicks,G,MIN,"$5,000.00 ",Unsportsmanlike Conduct,Week 5,,2009
Quincy Butler,CB,STL,"$7,500.00 ",Horse Collar Tackle,Week 5,,2009
Jacob Ford,DE,TEN,"$5,000.00 ",Roughing the Passer,Week 5,,2009
Asante Samuel,CB,PHI,"$5,000.00 ",Face Mask,Week 5,,2009
Omar Gaither,ILB,PHI,"$5,000.00 ",Late Hit,Week 5,,2009
n Bosch,DE,TEN,"$5,000.00 ",Roughing the Passer,Week 5,,2009
Alan Ball,CB,DAL,"$5,000.00 ",Hit on Defenseless Player,Week 5,,2009
Brian Cushing,ILB,HOU,"$5,000.00 ",Roughing the Passer,Week 5,,2009
Gibril Wilson,S,MIA,"$5,000.00 ",Hit on Defenseless Player,Week 5,,2009
Tommy Kelly,DT,OAK,"$5,000.00 ",Roughing the Passer,Week 5,,2009
Dave Tollefson,DE,OAK,"$7,500.00 ",Late Hit,Week 5,,2009
Trevor Scott,DE,OAK,"$7,500.00 ",Horse Collar Tackle,Week 5,,2009
Tony Brown,DT,TEN,"$10,000.00 ",Roughing the Passer,Week 4,,2009
Adewale Ogunleye,DE,CHI,"$7,500.00 ",Horse Collar Tackle,Week 4,,2009
Mike Wright,DT,NE,"$5,000.00 ",Roughing the Passer,Week 4,,2009
Haloti Ngata,DT,BAL,"$5,000.00 ",Roughing the Passer,Week 4,,2009
Anthony Henry,CB,DET,"$7,500.00 ",Horse Collar Tackle,Week 4,,2009
Jay Ratliff,DT,DAL,"$7,500.00 ",Helmet-to-Helmet Hit,Week 4,,2009
Ryan Clady,LT,DEN,"$5,000.00 ",Striking/Kicking/Kneeing,Week 4,,2009
Anthony Spencer,OLB,DAL,"$5,000.00 ",Face Mask,Week 4,,2009
Sheldon Brown,CB,PHI,"$10,000.00 ",Other Uniform/Equipment Violation,Week 2,,2009
Tyrone Carter,S,PIT,"$5,000.00 ",Hit on Defenseless Player,Week 2,,2009
Philip Rivers,QB,SD,"$7,500.00 ",Taunting,Week 1,,2009
Adrian Wilson,S,ARI,"$10,000.00 ",Hit on Defenseless Player,Week 1,,2009
Brett Favre,QB,MIN,"$10,000.00 ",Peelback Block,Preseason,,2009
Tanard Jackson,S,TB,"$108,235.00 ",Violating the NFL's substance abuse policy,,,2009
Shaun Ellis,DE,NYJ,"$273,529.00 ",Personal Conduct,,,2009
Donte Stallworth,WR,CLE,"$745,000.00 ",Crashed into and killed a pedestrian while DUI,,,2009
Michael Vick,QB,PHI,"$191,176.00 ",Involvement in a dog fighting case,,,2009
Calvin Pace,OLB,NYJ,"$176,470.00 ",Performance Enhancing Drug Abuse,,,2009
Marshawn Lynch,RB,BUF,"$91,557.00 ",violating the league's personal conduct policy,,,2009
Brandon Deaderick,DT,NE,"$26,470.00 ",VIolation of Team Policy,,,2010
Kroy Biermann,OLB,ATL,"$15,000.00 ",Helmet-to-Helmet Hit,Week 15,,2010
Dhani Jones,LB,CIN,"$15,000.00 ",Helmet-to-Helmet Hit,Week 15,,2010
Ed Reed,S,HOU,"$10,000.00 ",Roughing the Passer,Week 15,,2010
Brian Urlacher,LB,CHI,"$10,000.00 ",Hit on Defenseless Player,Week 15,,2010
Robert Mathis,OLB,IND,"$10,000.00 ",Roughing the Passer,Week 15,,2010
Antoine Bethea,SS,IND,"$10,000.00 ",Helmet-to-Helmet Hit,Week 15,,2010
Devin McCourty,FS,NE,"$10,000.00 ",Hit on Defenseless Player,Week 15,,2010
Kevin Williams,DT,MIN,"$7,500.00 ",Late Hit,Week 15,,2010
Antoine Winfield,CB,MIN,"$7,500.00 ",Roughing the Passer,Week 15,,2010
Dimitri Patterson,CB,NE,"$7,500.00 ",Horse Collar Tackle,Week 15,,2010
Demorrio Williams,LB,KC,"$7,500.00 ",Late Hit,Week 15,,2010
Vince Wilfork,DT,NE,"$5,000.00 ",Face Mask,Week 15,,2010
Terence Newman,CB,CIN,"$5,000.00 ",Spearing,Week 15,,2010
Knowshon Moreno,RB,DEN,"$5,000.00 ",Face Mask,Week 15,,2010
Tyler Brayton,DT,IND,"$15,000.00 ",Late Hit,Week 15,,2010
Anthony Spencer,OLB,DAL,"$12,500.00 ",Late Hit,Week 14,,2010
Kenny Britt,WR,TEN,"$5,000.00 ",Other Uniform/Equipment Violation,Week 14,,2010
Trent Cole,OLB,PHI,"$20,000.00 ",Roughing the Passer,Week 13,,2010
Alan Branch,DT,ARI,"$10,000.00 ",Roughing the Passer,Week 13,,2010
Quinton Ganther,RB,BUF,"$5,000.00 ",Hit on Defenseless Player,Week 13,,2010
Andy Levitre,G,BUF,"$7,500.00 ",Late Hit,Week 13,,2010
Duke Robinson,T,CAR,"$92,941.00 ",Substance Abuse,,,2010
Brandon Spikes,ILB,NE,"$75,294.00 ",performance enhancing drugs,,,2010
Ndamukong Suh,DT,DET,"$15,000.00 ",Roughing the Passer,Week 13,,2010
Cliff Avril,DE,DET,"$15,000.00 ",Roughing the Passer,Week 13,,2010
Rolando McClain,ILB,OAK,"$5,000.00 ",Striking/Kicking/Kneeing,Week 13,,2010
Albert Haynesworth,DT,WAS,"$847,058.00 ",conduct detrimental to team,,,2010
Jameel McClain,ILB,BAL,"$40,000.00 ",Helmet-to-Helmet Hit,Week 13,,2010
Haloti Ngata,DT,BAL,"$15,000.00 ",Roughing the Passer,Week 13,,2010
Michael Oher,RT,BAL,"$5,000.00 ",Personal Messages,Week 12,,2010
Bernard Pollard,S,HOU,"$40,000.00 ",Hit on Defenseless Player,Week 12,,2010
Sherrod Martin,SS,CAR,"$40,000.00 ",Helmet-to-Helmet Hit,Week 12,,2010
James Harrison,OLB,PIT,"$25,000.00 ",Roughing the Passer,Week 12,,2010
Andre Johnson,WR,HOU,"$25,000.00 ",Fighting,Week 12,,2010
Cortland Finnegan,CB,TEN,"$25,000.00 ",Fighting,Week 12,,2010
Jeremy Bridges,G,ARI,"$20,000.00 ",Late Hit,Week 12,,2010
Clark Haggans,LB,ARI,"$10,000.00 ",Hit on Defenseless Player,Week 11,,2010
Matt Wilhelm,LB,GB,"$5,000.00 ",Face Mask,Week 12,,2010
Brandon Jacobs,RB,NYG,"$20,000.00 ",Unsportsmanlike Conduct,Week 11,,2010
Tommy Kelly,DT,OAK,"$20,000.00 ",Hit on Defenseless Player,Week 11,,2010
Will Witherspoon,OLB,TEN,"$40,000.00 ",Helmet-to-Helmet Hit,Week 11,,2010
Asante Samuel,CB,PHI,"$40,000.00 ",Helmet-to-Helmet Hit,Week 11,,2010
Todd Herremans,G,PHI,"$5,000.00 ",Chop Block,Week 11,,2010
Richard Seymour,DT,OAK,"$25,000.00 ",Fighting,Week 10,,2010
Stevie Johnson,WR,BUF,"$5,000.00 ",Celebration,Week 6,,2010
David Stewart,RT,TEN,"$20,000.00 ",Late Hit,Week 10,,2010
LaMarr Woodley,OLB,PIT,"$12,500.00 ",Roughing the Passer,Week 10,,2010
Cody Grimm,S,TB,"$7,500.00 ",Hit on Defenseless Player,Week 10,,2010
Bart Scott,LB,NYJ,"$10,000.00 ",Other Uniform/Equipment Violation,Week 9,,2010
Chad Johnson,WR,CIN,"$20,000.00 ",Other Uniform/Equipment Violation,Week 9,,2010
Bernard Berrian,WR,MIN,"$5,000.00 ",Other Uniform/Equipment Violation,Week 9,,2010
Jon Beason,ILB,CAR,"$10,000.00 ",Hit on Defenseless Player,Week 9,,2010
Nick Collins,S,GB,"$50,000.00 ",Helmet-to-Helmet Hit,Week 8,,2010
Don Carey,SS,JAC,"$12,500.00 ",Helmet-to-Helmet Hit,Week 8,,2010
James Harrison,OLB,PIT,"$20,000.00 ",Roughing the Passer,Week 8,,2010
Ernie Sims,OLB,PHI,"$50,000.00 ",Hit on Defenseless Player,Week 8,,2010
Randy Moss,WR,MIN,"$25,000.00 ",Other Uniform/Equipment Violation,Week 7,,2010
Phillip Loadholt,RT,MIN,"$20,000.00 ",Face Mask,Week 7,,2010
Darnell Dockett,DE,ARI,"$15,000.00 ",Late Hit,Week 7,,2010
Albert Haynesworth,DT,WAS,"$7,500.00 ",Fighting,Week 7,,2010
Ray Edwards,DE,MIN,"$20,000.00 ",Spearing,Week 6,,2010
Malcolm Jenkins,FS,NO,"$10,000.00 ",Roughing the Passer,Week 6,,2010
William Hayes,DE,TEN,"$10,000.00 ",Late Hit,Week 6,,2010
Dave Ball,DE,TEN,"$5,000.00 ",Roughing the Passer,Week 6,,2010
Wade Smith,G,HOU,"$5,000.00 ",Leg Whip,Week 6,,2010
Adewale Ogunleye,DE,HOU,"$5,000.00 ",Late Hit,Week 6,,2010
Bernard Pollard,S,HOU,"$5,000.00 ",Late Hit,Week 6,,2010
Kevin Kolb,QB,PHI,"$5,000.00 ",Horse Collar Tackle,Week 6,,2010
Dashon Goldson,FS,SF,"$5,000.00 ",Late Hit,Week 6,,2010
Bernard Berrian,WR,MIN,"$5,000.00 ",Late Hit,Week 6,,2010
Stephen Peterman,G,DET,"$7,500.00 ",Late Hit,Week 6,,2010
Antwan Barnes,OLB,SD,"$5,000.00 ",Roughing the Passer,Week 6,,2010
Pat McAfee,P,IND,"$23,235.00 ",conduct detrimental to team,,,2010
James Harrison,OLB,PIT,"$75,000.00 ",Hit on Defenseless Player,Week 6,,2010
Brandon Meriweather,SS,NE,"$50,000.00 ",Hit on Defenseless Player,Week 6,,2010
Dunta Robinson,CB,ATL,"$50,000.00 ",Spearing,Week 5,,2010
Terrell Owens,WR,CIN,"$5,000.00 ",Other Uniform/Equipment Violation,Week 5,,2010
Antwan Odom,DE,CIN,"$800,000.00 ",Substance Abuse,,,2010
Michael Crabtree,WR,SF,"$2,500.00 ",Late Hit,Week 5,,2010
Michael Crabtree,WR,SF,"$5,000.00 ",Ball Into Stands,,,2010
Nate Burleson,WR,DET,"$15,000.00 ",Personal Messages,Week 5,,2010
Cortland Finnegan,CB,TEN,"$10,000.00 ",Fighting,Week 4,,2010
Marvin Mitchell,OLB,MIN,"$10,000.00 ",Face Mask,Week 4,,2010
Quintin Mikell,S,PHI,"$7,500.00 ",Horse Collar Tackle,Week 4,,2010
Jonathan Goff,LB,NYG,"$7,500.00 ",Roughing the Passer,Week 4,,2010
T.J. Ward,SS,CLE,"$15,000.00 ",Helmet-to-Helmet Hit,Week 4,,2010
Steve Gregory,S,SD,"$188,235.00 ",Substance Abuse,,,2010
Louis Delmas,FS,DET,"$5,000.00 ",Unsportsmanlike Conduct,Week 3,,2010
Ray Edwards,DE,MIN,"$5,000.00 ",Roughing the Passer,Week 3,,2010
Ahmad Bradshaw,RB,NYG,"$2,500.00 ",Chop Block,Week 4,,2010
David Diehl,RT,NYG,"$5,000.00 ",Horse Collar Tackle,Week 3,,2010
Kareem McKenzie,T,NYG,"$5,000.00 ",Helmet-to-Helmet Hit,Week 3,,2010
Adam Koets,T,NYG,"$5,000.00 ",Face Mask,Week 3,,2010
Stevie Johnson,WR,BUF,"$10,000.00 ",Celebration,Week 3,,2010
Shaun Smith,DT,KC,"$10,000.00 ",Hit on Defenseless Player,Week 3,,2010
Michael Oher,RT,BAL,"$5,000.00 ",Fighting,Week 3,,2010
Clay Matthews,OLB,GB,"$5,000.00 ",Face Mask,Week 3,,2010
Earl Thomas,FS,SEA,"$7,500.00 ",Taunting,Week 4,,2010
Ryan Cook,C,MIN,"$5,000.00 ",Chop Block,Week 3,,2010
Cortland Finnegan,CB,TEN,"$5,000.00 ",Fighting,Week 3,,2010
Jason Babin,DE,TEN,"$5,000.00 ",Spearing,Week 3,,2010
Frank Zombo,OLB,GB,"$7,500.00 ",Roughing the Passer,Week 3,,2010
Tony McDaniel,DT,MIA,"$109,117.00 ",violation of the Personal Conduct Policy,,,2010
Kendrick Lewis,FS,KC,"$5,000.00 ",Hit on Defenseless Player,Week 2,,2010
Alex Mack,C,CLE,"$5,000.00 ",Hit on Defenseless Player,Week 2,,2010
Eric Smith,S,NYJ,"$7,500.00 ",Hit on Defenseless Player,Week 2,,2010
Hines Ward,WR,PIT,"$5,000.00 ",Face Mask,Week 2,,2010
Chris Kemoeatu,G,PIT,"$5,000.00 ",Spearing,Week 2,,2010
Tanard Jackson,S,TB,"$1,352,047.00 ",Substance Abuse,,,2010
Brandon Jacobs,RB,NYG,"$10,000.00 ",Ball Into Stands,Week 2,,2010
Cortland Finnegan,CB,TEN,"$5,000.00 ",Fighting,Week 2,,2010
James Harrison,OLB,PIT,"$5,000.00 ",Roughing the Passer,Week 2,,2010
Duane Brown,LT,HOU,"$149,294.00 ",Substance Abuse,,,2010
Phillip Loadholt,RT,MIN,"$10,000.00 ",Face Mask,Week 1,,2010
Arian Foster,RB,HOU,"$5,000.00 ",Face Mask,Week 1,,2010
Sherrod Martin,SS,CAR,"$5,000.00 ",Hit on Defenseless Player,Week 1,,2010
Ndamukong Suh,DT,DET,"$7,500.00 ",Roughing the Passer,Preseason,,2010
Ray Edwards,DE,MIN,"$5,000.00 ",Late Hit,Preseason,,2010
Antrel Rolle,SS,NYG,"$7,500.00 ",Late Hit,Preseason,,2010
Aqib Talib,CB,DEN,"$83,382.00 ",personal conduct policy,,,2010
Shaun Rogers,DT,CLE,"$400,000.00 ",Off-court/Off-field Violation,Preseason,,2010
Maurice Purify,WR,CIN,0N/A,Substance Abuse,,,2010
Ike Taylor,CB,PIT,"$10,000.00 ",Fighting,Preseason,,2010
Hakeem Nicks,WR,NYG,"$10,000.00 ",Fighting,Preseason,,2010
Chad Johnson,WR,CIN,"$25,000.00 ",Other Uniform/Equipment Violation,Preseason,,2010
Shawn Nelson,TE,BUF,"$92,941.00 ",Substance Abuse,,,2010
Arthur Jones,DT,BAL,"$5,000.00 ",Chop Block,Preseason,,2010
Jonathan Babineaux,DT,ATL,"$129,411.00 ",Substance Abuse,,,2010
Cary Williams,CB,BAL,"$46,470.00 ",violation of the personal conduct policy,,,2010
Leroy Hill,LB,SEA,"$125,000.00 ",Personal Conduct Policy,,,2010
Johnny Jolly,DE,GB,0N/A,Substance Abuse/Personal Conduct,,,2010
Robert James,OLB,ATL,"$20,800.00 ",performance enhancing drugs,,,2010
Vincent Jackson,WR,SD,"$120,352.00 ",Substance Abuse,,,2010
Hollis Thomas,DT,CAR,"$894,117.00 ",performance enhancing drugs,,,2010
Lendale White,RB,SEA,"$148,235.00 ",Substance Abuse,,,2010
Ed Gant,WR,ARI,"$75,294.00 ",violation of the league's policy on performance enhancing drugs,,,2010
Gerald McRath,LB,TEN,"$23,235.00 ",performance enhancing drugs,,,2010
Quinn Ojinnaka,T,ATL,"$69,176.00 ",Violating the league's personal conduct policy,,,2010
Brian Cushing,ILB,HOU,"$92,941.00 ",PEDs,,,2010
Ben Roethlisberger,QB,PIT,"$1,894,118.00 ",Violating the league's player conduct policy,,,2010
Santonio Holmes,WR,NYJ,"$148,235.00 ",Substance Abuse,,,2010
Nick Miller,WR,STL,0N/A,performance enhancing drugs,,,2011
Weslye Saunders,WR,PIT,"$109,411.00 ",Undisclosed,,,2011
Bart Scott,LB,NYJ,"$10,000.00 ",Obscene Gesture,Postseason,,2011
Wes Welker,WR,NE,"$10,000.00 ",Other Uniform/Equipment Violation,Week 17,,2011
Pierre Thomas,RB,NO,"$7,500.00 ",Celebration,Week 15,,2011
Austin Pettis,WR,STL,"$88,235.00 ",PED,,,2011
James Harrison,OLB,PIT,"$73,529.00 ",Illegal Hit on Quarterback,,,2011
Richard Seymour,DT,OAK,"$30,000.00 ",Fighting,Week 14,,2011
Jerod Mayo,ILB,NE,"$25,000.00 ",Roughing the Passer,Week 13,,2011
Brandon Pettigrew,TE,DET,"$25,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 13,,2011
Shaun Chapas,TE,DAL,"$20,000.00 ",Blindside Block,Week 13,,2011
Trent Cole,OLB,PHI,"$7,500.00 ",Unsportsmanlike Conduct,Week 13,,2011
John Moffitt,G,SEA,"$88,325.00 ",Substance Abuse,,,2011
Trent Williams,LT,WAS,"$1,847,529.00 ",Substance Abuse,,,2011
Fred Davis,TE,WAS,"$141,176.00 ",Violating the NFL's substance abuse policy,,,2011
Vai Taua,RB,SEA,"$88,235.00 ",PED,,,2011
Stevie Johnson,WR,BUF,"$10,000.00 ",Celebration,Week 12,,2011
Ndamukong Suh,DT,DET,"$164,000.00 ",Striking/Kicking/Kneeing,Week 12,,2011
Ndamukong Suh,DT,DET,"$165,294.00 ",Unsportsmanlike Conduct,,,2011
Von Miller,OLB,DEN,"$15,000.00 ",Roughing the Passer,Week 10,,2011
Earl Bennett,WR,CHI,"$10,000.00 ",Other Uniform/Equipment Violation,Week 10,,2011
Kyle Vanden Bosch,DE,DET,"$7,500.00 ",Unsportsmanlike Conduct,Week 10,,2011
Rob Sims,G,DET,"$7,500.00 ",Late Hit,Week 10,,2011
Kam Chancellor,SS,SEA,"$20,000.00 ",Hit on Defenseless Player,Week 10,,2011
Joe Flacco,QB,BAL,"$7,500.00 ",Horse Collar Tackle,Week 10,,2011
Arthur Jones,DT,BAL,"$7,500.00 ",Unsportsmanlike Conduct,Week 10,,2011
Byron Bell,RT,CAR,"$7,500.00 ",Striking/Kicking/Kneeing,Week 10,,2011
Jordan Gross,LT,CAR,"$7,500.00 ",Striking/Kicking/Kneeing,Week 10,,2011
Charles Johnson,DE,CAR,"$7,500.00 ",Striking/Kicking/Kneeing,Week 10,,2011
Michael Griffin,FS,TEN,"$7,500.00 ",Late Hit,Week 10,,2011
Shawn Lauvao,G,CLE,"$7,500.00 ",Unsportsmanlike Conduct,Week 10,,2011
Nick Fairley,DT,DET,"$15,000.00 ",Roughing the Passer,Week 10,,2011
D.J. Moore,CB,CHI,"$15,000.00 ",Fighting,Week 10,,2011
Matthew Stafford,QB,DET,"$7,500.00 ",Unsportsmanlike Conduct,Week 10,,2011
Ryan Clark,S,PIT,"$40,000.00 ",Helmet-to-Helmet Hit,Week 9,,2011
Ray Lewis,LB,BAL,"$20,000.00 ",Helmet-to-Helmet Hit,Week 9,,2011
Ryan Clark,S,PIT,"$15,000.00 ",Late Hit,Week 8,,2011
Justin Smith,DE,SF,"$15,000.00 ",Roughing the Passer,Week 8,,2011
Chris Kemoeatu,G,PIT,"$25,000.00 ",Late Hit,Week 7,,2011
Brian Robison,DE,MIN,"$20,000.00 ",Striking/Kicking/Kneeing,Week 7,,2011
Chris Cook,CB,MIN,"$264,705.00 ",Domestic Assault Charges,,,2011
Dunta Robinson,CB,ATL,"$25,000.00 ",Hit on Defenseless Player,Week 6,,2011
Brian Orakpo,OLB,WAS,"$15,000.00 ",Roughing the Passer,Week 6,,2011
Aldon Smith,OLB,SF,"$15,000.00 ",Roughing the Passer,Week 6,,2011
Kevin Williams,DT,MIN,"$15,000.00 ",Roughing the Passer,Week 6,,2011
Troy Polamalu,S,PIT,"$10,000.00 ",Other Uniform/Equipment Violation,Week 6,,2011
Cedric Benson,RB,CIN,"$176,647.00 ",Personal Conduct Policy,,,2011
Dan Batten,DE,BUF,"$15,000.00 ",Roughing the Passer,Week 5,,2011
Brandon Meriweather,SS,CHI,"$25,000.00 ",Hit on Defenseless Player,Week 5,,2011
Charles Tillman,CB,CHI,"$7,500.00 ",Horse Collar Tackle,Week 5,,2011
Kenny Phillips,FS,NYG,"$20,000.00 ",Hit on Defenseless Player,Week 5,,2011
Matt Birk,C,BAL,"$5,000.00 ",Other Uniform/Equipment Violation,Week 5,,2011
Roman Harper,SS,NO,"$15,000.00 ",Late Hit,Week 5,,2011
Nate Burleson,WR,DET,"$5,000.00 ",Other Uniform/Equipment Violation,Week 5,,2011
Eric Wright,CB,DET,"$5,000.00 ",Other Uniform/Equipment Violation,Week 5,,2011
Jimmy Kennedy,DT,NYG,"$190,588.00 ",PED,,,2011
Haloti Ngata,DT,BAL,"$15,000.00 ",Roughing the Passer,Week 4,,2011
Patrick Chung,SS,NE,"$7,500.00 ",Hit on Defenseless Player,Week 4,,2011
Patrick Peterson,CB,ARI,"$5,000.00 ",Late Hit,Week 4,,2011
Rob Jackson,OLB,WAS,"$15,000.00 ",Roughing the Passer,Week 4,,2011
Perry Riley,ILB,WAS,"$15,000.00 ",Hit on Defenseless Player,Week 4,,2011
Anthony Davis,RT,SF,"$25,000.00 ",Leg Whip,Week 4,,2011
Jason Babin,DE,JAC,"$15,000.00 ",Roughing the Passer,Week 3,,2011
Brandon Spikes,ILB,BUF,"$21,000.00 ",Blindside Block,Week 3,,2011
Jaimie Thomas,T,IND,"$115,294.00 ",Substance Abuse,,,2011
Niles Paul,TE,WAS,"$20,000.00 ",Hit on Defenseless Player,Week 4,,2011
Brandon Meriweather,SS,CHI,"$20,000.00 ",Helmet-to-Helmet Hit,Week 4,,2011
Erik Walden,OLB,GB,"$15,000.00 ",Roughing the Passer,Week 3,,2011
Rob Ninkovich,OLB,NE,"$15,000.00 ",Helmet-to-Helmet Hit,Week 3,,2011
Brian Price,DT,CHI,"$7,500.00 ",Hit on Defenseless Player,Week 3,,2011
Nick Barnett,ILB,BUF,"$7,500.00 ",Late Hit,Week 3,,2011
Danieal Manning,S,HOU,"$15,000.00 ",Late Hit,Week 3,,2011
Travis LaBoy,DT,SD,"$15,000.00 ",Roughing the Passer,Week 3,,2011
Danario Alexander,WR,STL,"$5,000.00 ",Late Hit,Week 3,,2011
Jacob Bell,G,STL,"$7,500.00 ",Chop Block,Week 3,,2011
Jason Smith,LT,STL,"$7,500.00 ",Face Mask,Week 3,,2011
Bradley Fletcher,CB,STL,"$7,500.00 ",Late Hit,Week 3,,2011
Bradley Fletcher,CB,STL,"$7,500.00 ",Horse Collar Tackle,Week 3,,2011
Chad Greenway,OLB,MIN,"$7,500.00 ",Horse Collar Tackle,Week 3,,2011
Igor Olshansky,DE,MIA,"$10,000.00 ",Roughing the Passer,Week 3,,2011
Yeremiah Bell,S,MIA,"$15,000.00 ",Roughing the Passer,Week 3,,2011
Brandon Marshall,WR,MIA,"$7,500.00 ",Late Hit,Week 3,,2011
Terrell Suggs,OLB,BAL,"$7,500.00 ",Face Mask,Week 3,,2011
William Moore,SS,ATL,"$7,500.00 ",Helmet-to-Helmet Hit,Week 3,,2011
Phil Taylor,DT,CLE,"$7,500.00 ",Roughing the Passer,Week 3,,2011
Antonio Brown,WR,PIT,"$7,500.00 ",Low Block,Week 3,,2011
Mohamed Massaquoi,WR,CLE,"$7,500.00 ",Celebration,Week 3,,2011
Jason Jones,DE,TEN,"$15,000.00 ",Roughing the Passer,Week 3,,2011
Daniel Graham,TE,TEN,"$5,000.00 ",Ball Into Stands,Week 3,,2011
James Farrior,LB,PIT,"$15,000.00 ",Roughing the Passer,Week 3,,2011
Brandon Underwood,CB,GB,"$61,764.00 ",Personal Conduct Policy,,,2011
Jeff King,TE,ARI,"$7,500.00 ",Face Mask,Week 2,,2011
Doug Legursky,C,PIT,"$7,500.00 ",Low Block,Week 2,,2011
Raheem Brock,DT,SEA,"$15,000.00 ",Roughing the Passer,Week 2,,2011
Andre Carter,DE,NE,"$15,000.00 ",Roughing the Passer,Week 2,,2011
Eric Weddle,FS,SD,"$15,000.00 ",Helmet-to-Helmet Hit,Week 2,,2011
Antonio Garay,DE,SD,"$15,000.00 ",Low Block,Week 2,,2011
Cullen Jenkins,DE,PHI,"$15,000.00 ",Roughing the Passer,Week 2,,2011
Derrick Morgan,OLB,TEN,"$7,500.00 ",Roughing the Passer,Week 2,,2011
Andre Roberts,WR,ARI,"$7,500.00 ",Chop Block,Week 1,,2011
Trent Cole,OLB,PHI,"$15,000.00 ",Roughing the Passer,Week 1,,2011
Ahmad Brooks,OLB,SF,"$7,500.00 ",Roughing the Passer,Week 1,,2011
C.J. Ah You,DE,STL,"$15,000.00 ",Roughing the Passer,Week 1,,2011
Antrel Rolle,SS,NYG,"$20,000.00 ",Impermissible Use of the Helmet,Week 1,,2011
Troy Polamalu,S,PIT,"$15,000.00 ",Horse Collar Tackle,Week 5,,2011
Ike Taylor,CB,PIT,"$15,000.00 ",Helmet-to-Helmet Hit,Week 1,,2011
Brendon Ayanbadejo,LB,BAL,"$15,000.00 ",Horse Collar Tackle,Week 1,,2011
Charles Woodson,SS,GB,"$10,000.00 ",Fighting,Week 1,,2011
Patrick Chung,SS,NE,"$7,500.00 ",Horse Collar Tackle,Week 1,,2011
Kenny Phillips,FS,NYG,"$10,000.00 ",Striking/Kicking/Kneeing,Week 1,,2011
Brandon Jacobs,RB,SF,"$20,000.00 ",Fighting,Preseason,,2011
Muhammad Wilkerson,DE,NYJ,"$10,000.00 ",Fighting,Preseason,,2011
Winston Venable,S,CHI,"$20,000.00 ",Hit on Defenseless Player,Preseason,,2011
Brandon Lang,LB,SD,"$75,294.00 ",Undisclosed,,,2011
Dominic Rhodes,RB,IND,"$11,764.00 ",Undisclosed,,,2011
Eric Alexander,LB,CLE,"$150,588.00 ",Undisclosed,,,2011
Pat Williams,DT,MIN,0N/A,Substance Abuse,,,2011
Robert Brewster,T,DAL,"$112,941.00 ",Undisclosed,,,2011
Charles Grant,DE,CHI,"$264,705.00 ",Substance Abuse,,,2011
Eric Barton,LB,CLE,0N/A,Undisclosed,,,2011
David Reed,WR,BAL,"$26,470.00 ",Substance Abuse,,,2011
Bobbie Williams,G,CIN,"$611,764.00 ",Substance Abuse,,,2011
Ahmard Hall,FB,TEN,"$200,000.00 ",PED,,,2011
Kevin Williams,DT,MIN,"$1,411,764.00 ",Substance Abuse,,,2011
Will Smith,OLB,NO,"$1,411,764.00 ",Substance Abuse,,,2011
Terrelle Pryor,WR,OAK,"$110,294.00 ",Undisclosed,,,2011
Ndamukong Suh,DT,DET,"$20,000.00 ",Roughing the Passer,Preseason,,2011
Phillip Buchanon,CB,WAS,"$235,294.00 ",PEDs,,,2011
Javarris James,RB,ARI,0N/A,Substance Abuse,,,2012
Bernard Pollard,S,BAL,"$15,250.00 ",Hit on Defenseless Player,Postseason,,2012
Frank Gore,RB,SF,"$10,500.00 ",Other Uniform/Equipment Violation,Postseason,,2012
Tom Brady,QB,NE,"$10,000.00 ",Striking/Kicking/Kneeing,Postseason,,2012
Antrel Rolle,SS,NYG,"$7,875.00 ",Fighting,Week 17,,2012
King Dunlap,LT,PHI,"$7,875.00 ",Fighting,Week 17,,2012
Chris Williams,G,STL,"$7,875.00 ",Late Hit,Week 17,,2012
Phil Taylor,DT,CLE,"$7,875.00 ",Hit on Defenseless Player,Week 17,,2012
